iter	Logloss
0	0.6095638289
1	0.5403058254
2	0.4850778856
3	0.4376239487
4	0.3980882755
5	0.3748792051
6	0.3450515615
7	0.3234970938
8	0.3037581568
9	0.2884931207
10	0.2742914916
11	0.2613796632
12	0.2509010686
13	0.2415270868
14	0.2331006575
15	0.2254041228
16	0.2175564223
17	0.2119282014
18	0.2061947933
19	0.2013627374
20	0.1972295073
21	0.1926059984
22	0.1898400835
23	0.1853898941
24	0.1817310606
25	0.1776028395
26	0.1751485777
27	0.1726735753
28	0.1690251465
29	0.1661461748
30	0.1626683974
31	0.16026632
32	0.1583041934
33	0.1559365549
34	0.154177999
35	0.1522840035
36	0.1500423273
37	0.1484639458
38	0.1469053054
39	0.1452452109
40	0.1432552803
41	0.1411178441
42	0.1399175858
43	0.1384032665
44	0.1368774893
45	0.1354475732
46	0.1343590891
47	0.1326561182
48	0.1310180481
49	0.1294996713
50	0.1288735517
51	0.1282100352
52	0.1270001794
53	0.1253417921
54	0.1247072537
55	0.123143901
56	0.1223847236
57	0.1212821007
58	0.1200444923
59	0.1187691499
60	0.1180304357
61	0.1176290426
62	0.1168717026
63	0.1157693659
64	0.1148794767
65	0.1143929927
66	0.1138057046
67	0.1131588128
68	0.1118368015
69	0.111155824
70	0.1105031101
71	0.1100855073
72	0.1089961473
73	0.1080421443
74	0.1072413812
75	0.106361399
76	0.1048490795
77	0.1045632907
78	0.1039404175
79	0.1033586777
80	0.1027588349
81	0.1017794021
82	0.1003728882
83	0.09994954915
84	0.09926691878
85	0.09881834675
86	0.0981130782
87	0.09730685626
88	0.09628305356
89	0.09589427441
90	0.09503937051
91	0.09414405994
92	0.09413303693
93	0.09358743171
94	0.09276775359
95	0.09241468644
96	0.0919650532
97	0.09116047346
98	0.09036688278
99	0.09033927876
100	0.08970378057
101	0.08862854589
102	0.0886168382
103	0.08790809862
104	0.08739389328
105	0.08699274636
106	0.08683390148
107	0.08612748774
108	0.08536301595
109	0.08465863611
110	0.08463689602
111	0.0843340589
112	0.08380864211
113	0.08317868336
114	0.08244770764
115	0.08242832722
116	0.08242148725
117	0.08205133337
118	0.08138955552
119	0.08085333245
120	0.08014344888
121	0.08003618713
122	0.07953412899
123	0.07916775883
124	0.07850171229
125	0.07759140273
126	0.07733603828
127	0.07688820718
128	0.0766342354
129	0.07576661499
130	0.07542347826
131	0.07491645627
132	0.07413612009
133	0.0735418251
134	0.07310459054
135	0.07272148454
136	0.07208458227
137	0.07151550108
138	0.0709738469
139	0.07068114898
140	0.07006034159
141	0.06922479213
142	0.06896140267
143	0.06871134739
144	0.06847277376
145	0.06777911863
146	0.06744200913
147	0.06701645194
148	0.06677717086
149	0.06643131804
150	0.066100344
151	0.06566742083
152	0.06529070515
153	0.0649297246
154	0.06470389834
155	0.06408029506
156	0.06356707116
157	0.06310692252
158	0.06284918099
159	0.06247306966
160	0.0621560383
161	0.0618214469
162	0.06147586079
163	0.06094109149
164	0.06054835796
165	0.06015138003
166	0.05989619055
167	0.05957228049
168	0.05915564841
169	0.0588444993
170	0.0584701742
171	0.05822771505
172	0.05822767199
173	0.05802774362
174	0.05759255974
175	0.05732403324
176	0.05702140079
177	0.05654900022
178	0.05606438608
179	0.05558824338
180	0.05512973447
181	0.0546124932
182	0.05418997104
183	0.05385083215
184	0.05355301439
185	0.0530864962
186	0.05278913167
187	0.05243893303
188	0.05194174824
189	0.05156625721
190	0.05127315114
191	0.05079479621
192	0.05050814965
193	0.05017921361
194	0.04987492143
195	0.0493675983
196	0.04914193722
197	0.04887383511
198	0.04863314965
199	0.04843194072
200	0.04822418691
201	0.04805374476
202	0.04788058242
203	0.04752501815
204	0.04735626015
205	0.04713055059
206	0.04689750752
207	0.04665888699
208	0.04654550702
209	0.04639899743
210	0.04608582574
211	0.04588328489
212	0.04557610321
213	0.04531816799
214	0.04499525073
215	0.04469111537
216	0.04443905534
217	0.04413839209
218	0.04384635386
219	0.04366354956
220	0.04343880294
221	0.04329353419
222	0.04287241643
223	0.04274170766
224	0.04236439858
225	0.04224868373
226	0.04210780484
227	0.04189302729
228	0.04169529648
229	0.04144342585
230	0.04126008936
231	0.04110590541
232	0.04085207859
233	0.0405459304
234	0.04043262179
235	0.04017813541
236	0.03998161494
237	0.03987748516
238	0.03963949341
239	0.03917696282
240	0.03890284044
241	0.03856480603
242	0.03825125663
243	0.03806332871
244	0.03793733883
245	0.03754497879
246	0.03732324437
247	0.0372308007
248	0.03710149083
249	0.0370356829
250	0.03675794516
251	0.03650618015
252	0.03635451114
253	0.03616693371
254	0.03599092684
255	0.03578427135
256	0.03563607649
257	0.03548110061
258	0.03540893072
259	0.03518885493
260	0.03505442852
261	0.03487951401
262	0.03467990993
263	0.03457434877
264	0.03442242657
265	0.03420367062
266	0.03406851304
267	0.03394808402
268	0.03381800039
269	0.03350034774
270	0.0333528217
271	0.03310394503
272	0.03294460745
273	0.03268389545
274	0.03256174998
275	0.03241064184
276	0.0323530579
277	0.03220455547
278	0.03198680252
279	0.03178399732
280	0.03171561782
281	0.03153857893
282	0.03134644942
283	0.03121137234
284	0.03101660427
285	0.0309019037
286	0.03072447016
287	0.03055644767
288	0.03048773721
289	0.03038437188
290	0.03030803264
291	0.03021454823
292	0.03003593527
293	0.02973813334
294	0.02955338004
295	0.02939125208
296	0.02929974082
297	0.02918846344
298	0.02902406772
299	0.02888009396
